SR #,Source,Referrer,Prospect,Relationship,Associate,Referral Date,Added to Advisor Portal,Connected to Referred Contact,Contact Prospect,Discovery Package Sent,Discovery Package Received,First Meeting Date,Final Status,New Client Date,Thank You to New Client,Thank You to Existing Client,Appreciation Event for Existing Client,Appreciation Event for New Client,Sales Credits,3 Month Service Call,# of Referrals Received,Action
155,C,Client083,Prospect163,F,Associate028,2018-11-22,2018-11-22,2018-11-22,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
156,C,Client084,Prospect164,C,Associate029,2018-10-25,2018-10-25,2018-10-25,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
157,C,Client048,Prospect165,F,Associate028,2018-10-25,2018-10-25,2018-10-25,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
158,C,Client048,Prospect166,F,Associate028,2018-10-25,2018-10-25,2018-10-25,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
159,C,Client085,Prospect167,F,Associate028,2018-10-04,2018-10-04,2018-10-04,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
160,C,Client086,Prospect168,R,Associate029,2018-09-19,2018-09-19,2018-09-19,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
161,C,Client083,Prospect169,F,Associate028,2018-11-22,2018-11-22,2018-11-22,2018-12-03,N/A,N/A,N/A,5,,,,,,,,,NFAR
163,C,CenterOfInfluence050,Prospect170,F,Associate028,2019-01-21,2019-01-21,2019-01-21,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
164,C,Client087,Prospect171,C,Associate029,2018-10-23,2018-10-23,2018-10-23,2019-01-28,N/A,N/A,N/A,5,,,,,,,,,NFAR
165,E,Event025,Prospect172,,Associate029,2019-03-21,2019-03-26,N/A,2019-03-26,2019-04-01,2019-03-26,N/A,5,,,,,,,,,NFAR
166,C,Client083,Prospect173,F,Associate028,2018-11-22,2018-11-22,2018-11-22,2018-11-23,2018-11-30,2018-11-30,N/A,4,,,,,,,,,NFAR
167,C,Client087,Prospect174,C,Associate029,2018-10-23,2018-10-23,2018-10-23,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
168,E,Event026,Prospect175,C,Associate028,2019-03-18,2019-03-18,2019-03-18,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
169,C,Client026,Prospect176,C,Associate028,2019-04-09,2019-04-09,2019-04-09,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
170,C,Client026,Prospect177,C,Associate028,2019-04-09,2019-04-09,2019-04-09,2019-04-09,N/A,N/A,N/A,3,,,,,,,,,NFAR
171,E,Event027,Prospect178,C,Associate028,2019-03-13,2019-03-13,N/A,2019-03-18,N/A,N/A,N/A,5,,,,,,,,,NFAR
172,E,Event027,Prospect179,,Associate029,2019-03-13,2019-03-13,N/A,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
173,C,Client026,Prospect180,C,Associate028,2019-04-09,2019-04-09,2019-04-09,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
174,C,Client026,Prospect181,C,Associate028,2019-04-09,2019-04-09,2019-04-09,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
175,C,Client026,Prospect182,C,Associate028,2019-04-09,2019-04-09,2019-04-09,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
176,E,Event027,Prospect183,,Associate029,2019-03-13,2019-03-13,N/A,2019-03-18,N/A,N/A,N/A,5,,,,,,,,,NFAR
177,E,Event027,Prospect184,C,Associate028,2019-03-13,2019-03-13,N/A,2019-03-18,N/A,N/A,N/A,5,,,,,,,,,NFAR
178,E,Event027,Prospect185,C,Associate028,2019-03-13,2019-03-13,N/A,2019-03-18,N/A,N/A,N/A,5,,,,,,,,,NFAR
179,C,Client088,Prospect186,R,Associate028,2018-09-26,2018-09-26,2018-09-26,2018-10-22,2018-10-29,2018-11-07,N/A,3,,,,,,,,,NFAR
180,C,Client089,Prospect187,C,Associate029,2018-10-15,2018-10-15,2018-10-15,N/A,N/A,N/A,N/A,3,,,,,,,,,NFAR
181,E,Event028,Prospect188,C,Associate028,2018-03-22,2018-03-22,2018-03-22,N/A,N/A,N/A,N/A,3,,,,,,,,,NFAR
182,E,Event026,Prospect189,C,Associate028,2019-03-18,2019-03-18,2019-03-18,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
183,C,Client088,Prospect190,R,Associate028,2018-10-25,2018-10-25,2018-10-25,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
184,C,Client090,Prospect191,F,Associate028,2018-10-26,2018-10-26,2018-10-26,2018-10-26,2018-11-08,N/A,N/A,5,,,,,,,,,NFAR
185,C,Client091,Prospect192,C,Associate029,2019-09-05,2019-09-05,2019-09-05,2019-09-09,N/A,N/A,N/A,5,,,,,,,,,NFAR
186,C,Client092,Prospect193,F,Associate029,2019-08-19,2019-08-20,2019-08-20,2019-08-19,N/A,N/A,N/A,5,,,,,,,,,NFAR
188,COI,CenterOfInfluence036,Prospect194,S,Associate028,2019-09-20,2019-09-20,2019-09-20,2019-09-23,N/A,2019-10-09,N/A,5,,,,,,,,,NFAR
189,C,Client066,Prospect059,F,Associate028,2019-09-04,2019-09-04,2019-09-04,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
192,C,Client095,Prospect197,C,Associate028,2019-09-23,,,,,,N/A,5,,,,,,,,,"NFAR, No response"
193,C,Client096,Prospect198,C,Associate028,2018-12-10,2018-12-10,2018-12-10,N/A,N/A,N/A,N/A,5,,,,,,,,,"NFAR, No response"
194,C,Client097,Prospect199,F,Associate028,2020-02-05,2020-02-05,2020-02-05,2020-02-14,,,N/A,5,,,,,,,,,NFAR
195,C,Client057,Prospect200,F,Associate028,2019-08-30,2017-12-11,2017-12-11,N/A,N/A,N/A,N/A,5,,,,,,,,,Associate007 to follow up with Client057
196,O,Client098,Prospect201,R,Associate028,2020-10-23,2020-10-23,2020-10-23,N/A,N/A,2020-10-22,N/A,5,,,,,,,,,NFAR
197,C,Client099,Prospect202,,Associate028,2019-10-07,2019-10-07,2019-10-07,2019-10-07,N/A,2019-10-04,N/A,5,,,,,,,,,NFAR
198,O,Client100,Prospect203,F,Associate028,2020-11-09,N/A,N/A,N/A,N/A,N/A,N/A,5,,,,,,,,,Associate017 to do CLC
199,C,Client048,Prospect204,F,Associate028,,,,,,,N/A,5,,,,,,,,,Associate017 to do CLC
200,C,Client101,Prospect205,R,Associate016,2020-06-24,2020-06-24,2020-06-24,2020-07-06,2020-07-23,2020-07-29,N/A,5,,,,,,,,,NFAR
201,C,Client102,Prospect206,R,Associate016,2020-11-24,N/A,N/A,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
202,COI,CenterOfInfluence036,Prospect207,S,Associate016,2018-09-24,2018-09-24,2018-09-24,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
203,COI,CenterOfInfluence036,Prospect208,S,Associate016,2018-09-24,2018-09-24,2018-09-24,N/A,N/A,N/A,N/A,5,,,,,,,,,NFAR
204,C,Client103,Prospect209,F,Associate004,2021-02-16,2021-02-16,2021-02-16,,,,N/A,5,,,,,,,,,NFAR
205,C,Client104,Prospect210,F,Associate004,2020-12-18,2020-12-21,2020-12-21,2020-12-31,2021-01-05,2021-01-08,N/A,5,,,,,,,,,NFAR
206,COI,Client105,Prospect211,S,Associate016,2020-02-10,2020-02-10,2020-02-10,N/A,N/A,N/A,N/A,5,,,,,,,,,Client093 will follow up with Client105 in a week again
207,C,Client096,Prospect212,F,Associate016,2020-02-05,2020-02-05,2020-02-05,N/A,N/A,N/A,N/A,5,,,,,,,,,Client093 to call Prospect212
208,C,Client106,Prospect213,F,Associate004,2021-02-16,,,,,,N/A,5,,,,,,,,,Client093 to asdvise if he needs to do CLC if no response received this week
209,C,Client044,Prospect214,C,Associate016,2021-01-21,2021-01-22,2021-01-22,N/A,N/A,N/A,2021-03-05,5,,,,,,,,,"Associate007 to CLC Prospect214 , Associate007 to update Client044"
210,C,Client078,Prospect215,F,Associate030,2018-09-20,2018-09-20,2018-09-20,2021-01-06,2021-01-08,2021-01-08,,3,,,,,,,,,NFAR
211,C,Client107,Prospect216,F,Associate030,2019-09-23,2019-09-23,2019-09-23,N/A,N/A,N/A,,3,,,,,,,,,NFAR
212,O,Client108,Prospect217,F,Associate030,2020-10-29,2020-10-29,2020-10-29,N/A,N/A,N/A,,3,,,,,,,,,NFAR
217,C,Client103,Prospect219,F,Associate004,2021-03-26,2021-03-29,2021-03-29,N/A,N/A,N/A,,5,,,,,,,,,NFAR untill they decided to cntact us
218,C,Client109,Prospect220,R,Associate004,2021-04-01,2021-04-19,,,,,,5,,,,,,,,,NFAR untill they decided to cntact us
219,C,Client105,Prospect221,O,Associate016,2021-04-28,2021-04-30,2021-04-30,2021-04-30,,,,5,,,,,,,,,NFAR as prospect is not responsive
220,C,Client009,Prospect222,F,Associate016,2021-07-20,2021-07-22,2021-07-22,2021-07-23,2021-07-29,2021-08-04,,5,,,,,,,,,NFAR
221,C,Client110,Prospect223,F,Associate004,2021-08-20,N/A,N/A,N/A,N/A,N/A,,5,,,,,,,,,NFAR
222,C,Client111,Prospect224,F,Associate030,2021-08-20,N/A,N/A,N/A,N/A,N/A,,5,,,,,,,,,NFAR
223,C,Client111,Prospect225,F,Associate030,2021-08-20,N/A,N/A,N/A,N/A,N/A,,5,,,,,,,,,NFAR
224,SM,Client112,Prospect226,S,Associate016,2021-07-21,2021-07-21,2021-07-21,2021-07-22,N/A,N/A,,5,,,,,,,,,Associate017 advised to close this prospect
225,C,Client113,Prospect227,F,Associate016,2021-08-20,N/A,N/A,N/A,N/A,N/A,,5,,,,,,,,,Associate008 advised to close this prosepct as they were not responsive
226,SM,Client114,Prospect228,S,Associate016,2021-11-02,2021-11-02,2021-11-04,2021-11-02,2021-11-04,2021-11-05,,3,,,,,,,,,Prospect124 does not want to proceed at the moment
227,C,Client115,Prospect229,F,Associate004,2019-09-17,2019-09-17,2019-09-17,N/A,N/A,N/A,,3,,,,,,,,,Associate007 to follow-up with Client115
228,C,Client115,Prospect230,F,Associate004,2019-08-30,2019-09-04,2019-09-04,N/A,N/A,N/A,,3,,,,,,,,,Associate007 to follow-up with Client115
229,C,Client115,Prospect231,F,Associate004,2019-08-30,2019-09-04,2019-09-04,N/A,N/A,N/A,,3,,,,,,,,,Associate007 to follow-up with Client115
230,C,Client115,Prospect232,F,Associate004,2019-08-30,2019-09-04,2019-09-04,N/A,N/A,N/A,,3,,,,,,,,,Associate007 to follow-up with Client115
231,C,Client116,Prospect233,F,Associate016,2021-02-03,2021-02-05,2021-02-05,2021-02-11,2021-02-16,,,3,,,,,,,,,Associate017 to follow up in January
232,C,Client117,Prospect234,F,Associate004,2020-08-25,2020-08-25,2020-08-25,2020-08-29,2020-09-08,2020-09-10,,3,,,,,,,,,Associate007 to call and advise next step
233,C,Client118,Prospect124,F,Associate016,2021-08-20,N/A,N/A,N/A,N/A,N/A,,3,,,,,,,,,Associate008 to follw up in January
234,C,Client119,Prospect235,F,Associate004,2021-10-18,2021-10-18,2021-10-18,,,,,3,,,,,,,,,NFAR
